Data,close,high,low,open,volume
2018-01-02,9.55,9.6,9.495,9.565,2900.0
2018-01-03,9.5975,9.605,9.55,9.5625,2582.0
2018-01-04,9.5925,9.6,9.5025,9.5925,2133.0
2018-01-05,9.615,9.665,9.6,9.6,1278.0
2018-01-08,9.5825,9.6225,9.515,9.6075,988.0
2018-01-09,9.5575,9.5925,9.535,9.5875,580.0
2018-01-10,9.47,9.54,9.445,9.5325,574.0
2018-01-11,9.405,9.4825,9.4,9.46,204.0
2018-01-12,9.44,9.44,9.3725,9.4025,149724.0
2018-01-16,9.68,9.7,9.6325,9.65,97797.0
2018-01-17,9.6875,9.6925,9.6125,9.6625,91701.0
2018-01-18,9.73,9.7475,9.665,9.6875,74574.0
2018-01-19,9.7725,9.8275,9.72,9.725,105770.0
2018-01-22,9.8425,9.8725,9.8,9.805,124262.0
2018-01-23,9.8625,9.8875,9.795,9.83,107959.0
2018-01-24,9.9225,9.9475,9.8025,9.8575,139169.0
2018-01-25,9.9225,10.02,9.87,9.92,154146.0
2018-01-26,9.855,9.955,9.8375,9.9025,110339.0
2018-01-29,9.915,9.9875,9.8625,9.9225,143395.0
2018-01-30,10.0025,10.0475,9.8825,9.945,169083.0
2018-01-31,9.9575,10.02,9.89,10.0,165828.0
2018-02-01,9.85,9.955,9.775,9.9525,159220.0
2018-02-02,9.7875,9.8625,9.77,9.8575,100314.0
2018-02-05,9.6975,9.775,9.695,9.7625,128425.0
2018-02-06,9.8625,9.875,9.6775,9.6975,179233.0
2018-02-07,9.83,9.9375,9.82,9.8875,167291.0
2018-02-08,9.8775,9.96,9.7775,9.8325,230204.0
2018-02-09,9.83,9.8975,9.7975,9.875,164565.0
2018-02-12,10.0175,10.0425,9.89,9.955,215178.0
2018-02-13,10.1175,10.135,9.9875,10.01,177145.0
2018-02-14,10.1725,10.195,10.06,10.1125,154450.0
2018-02-15,10.2425,10.2475,10.155,10.165,158344.0
2018-02-16,10.215,10.2825,10.12,10.235,146731.0
2018-02-20,10.265,10.39,10.245,10.315,193966.0
2018-02-21,10.3425,10.3825,10.1925,10.2775,133023.0
2018-02-22,10.32,10.37,10.2725,10.34,108212.0
2018-02-23,10.3625,10.395,10.28,10.31,108212.0
2018-02-26,10.3425,10.4775,10.34,10.395,136487.0
2018-02-27,10.38,10.4425,10.3175,10.34,78531.0
2018-02-28,10.45,10.48,10.35,10.3775,14916.0
2018-03-01,10.575,10.575,10.41,10.4375,7733.0
2018-03-02,10.6075,10.71,10.535,10.57,5525.0
2018-03-05,10.6675,10.68,10.5675,10.635,3045.0
2018-03-06,10.645,10.67,10.6075,10.66,2839.0
2018-03-07,10.55,10.63,10.545,10.58,2360.0
2018-03-08,10.5375,10.5725,10.47,10.525,493.0
2018-03-09,10.2925,10.4975,10.2925,10.4975,390.0
2018-03-12,10.3325,10.3425,10.23,10.23,1590.0
2018-03-13,10.405,10.4325,10.355,10.355,249.0
2018-03-14,10.285,10.4275,10.285,10.4225,148683.0
2018-03-15,10.4075,10.4625,10.27,10.31,123213.0
2018-03-16,10.495,10.5,10.4075,10.42,78281.0
2018-03-19,10.225,10.455,10.2175,10.4525,131023.0
2018-03-20,10.2825,10.2975,10.2225,10.2225,78890.0
2018-03-21,10.2975,10.3725,10.2475,10.295,101951.0
2018-03-22,10.2975,10.355,10.2225,10.32,99281.0
2018-03-23,10.2825,10.3425,10.0925,10.265,164881.0
2018-03-26,10.255,10.4025,10.25,10.2625,100548.0
2018-03-27,10.195,10.3125,10.1725,10.27,98041.0
2018-03-28,10.18,10.2325,10.15,10.195,104492.0
2018-03-29,10.4475,10.5075,10.125,10.195,177841.0
2018-04-02,10.355,10.605,10.3525,10.4525,108570.0
2018-04-03,10.38,10.4875,10.3575,10.3625,135404.0
2018-04-04,10.1525,10.4175,9.835,10.3875,352462.0
2018-04-05,10.3125,10.34,10.1175,10.155,219539.0
2018-04-06,10.3375,10.3725,10.03,10.03,164385.0
2018-04-09,10.47,10.5675,10.375,10.3825,171846.0
2018-04-10,10.5,10.64,10.45,10.455,171444.0
2018-04-11,10.4775,10.5875,10.4725,10.5075,121591.0
2018-04-12,10.6075,10.6175,10.4725,10.4775,186951.0
2018-04-13,10.5425,10.6725,10.515,10.6025,118735.0
2018-04-16,10.42,10.5875,10.415,10.5425,101597.0
2018-04-17,10.46,10.4925,10.4,10.4325,81326.0
2018-04-18,10.4175,10.525,10.39,10.4625,94271.0
2018-04-19,10.3725,10.4475,10.3275,10.4175,95799.0
2018-04-20,10.2875,10.385,10.2775,10.37,74206.0
2018-04-23,10.2075,10.3325,10.1725,10.275,72696.0
2018-04-24,10.2225,10.2625,10.1625,10.2075,90059.0
2018-04-25,10.275,10.3325,10.205,10.2225,68707.0
2018-04-26,10.28,10.345,10.24,10.2725,79917.0
2018-04-27,10.45,10.4675,10.19,10.285,64971.0
2018-04-30,10.3775,10.565,10.3675,10.4625,10337.0
2018-05-01,10.425,10.44,10.3125,10.3875,6794.0
2018-05-02,10.3275,10.4125,10.2925,10.4125,5489.0
2018-05-03,10.4325,10.4325,10.2475,10.3275,3158.0
2018-05-04,10.2725,10.39,10.27,10.385,1314.0
2018-05-07,10.0225,10.25,10.0125,10.25,1657.0
2018-05-08,10.1125,10.1175,10.0225,10.0425,784.0
2018-05-09,10.0725,10.1175,10.0225,10.1125,712.0
2018-05-10,10.1325,10.18,10.0725,10.08,389.0
2018-05-11,9.9475,10.0875,9.9325,10.0875,103.0
2018-05-14,10.13,10.135,10.0725,10.0725,131052.0
2018-05-15,10.1875,10.2525,10.0525,10.1725,115400.0
2018-05-16,9.9975,10.185,9.9875,10.1775,100892.0
2018-05-17,9.95,10.075,9.925,10.01,92145.0
2018-05-18,9.985,10.0775,9.9275,9.9575,122151.0
2018-05-21,10.2525,10.27,10.115,10.175,147490.0
2018-05-22,10.305,10.36,10.2025,10.22,106181.0
2018-05-23,10.3925,10.3975,10.2775,10.305,90467.0
2018-05-24,10.3575,10.5075,10.355,10.3975,122485.0
2018-05-25,10.415,10.44,10.355,10.3675,79808.0
2018-05-29,10.305,10.495,10.28,10.4525,128700.0
2018-05-30,10.23,10.3175,10.1475,10.305,134683.0
2018-05-31,10.185,10.3075,10.135,10.23,103115.0
2018-06-01,10.2125,10.265,10.15,10.1925,99974.0
2018-06-04,10.0175,10.145,10.0125,10.1325,101111.0
2018-06-05,10.0125,10.0675,9.9725,10.0225,127577.0
2018-06-06,9.9425,10.0825,9.9375,10.045,90708.0
2018-06-07,9.7425,9.9825,9.73,9.95,173223.0
2018-06-08,9.6925,9.7625,9.625,9.7425,132153.0
2018-06-11,9.5375,9.7225,9.5325,9.6675,136802.0
2018-06-12,9.54,9.6325,9.52,9.565,137200.0
2018-06-13,9.36,9.585,9.3425,9.54,188399.0
2018-06-14,9.2725,9.3775,9.24,9.3375,118204.0
2018-06-15,9.055,9.3775,9.03,9.3375,169719.0
2018-06-18,9.085,9.14,8.9725,9.055,139697.0
2018-06-19,8.89,9.0575,8.415,9.05,196376.0
2018-06-20,8.895,8.96,8.77,8.9075,126765.0
2018-06-21,8.805,8.9125,8.7825,8.895,99476.0
2018-06-22,8.945,8.975,8.7875,8.7925,128481.0
2018-06-25,8.745,8.99,8.7175,8.965,89323.0
2018-06-26,8.6725,8.81,8.625,8.7325,88854.0
2018-06-27,8.675,8.78,8.66,8.68,87401.0
2018-06-28,8.6125,8.695,8.595,8.6525,43758.0
2018-06-29,8.585,8.765,8.575,8.6125,11057.0
2018-07-02,8.485,8.6125,8.4575,8.6,5569.0
2018-07-03,8.44,8.5275,8.43,8.495,0.0
2018-07-05,8.355,8.45,8.34,8.435,3567.0
2018-07-06,8.74,8.7725,8.36,8.36,2510.0
2018-07-09,8.5175,8.675,8.4825,8.675,1258.0
2018-07-10,8.5225,8.6025,8.475,8.49,866.0
2018-07-11,8.2975,8.4225,8.295,8.405,1166.0
2018-07-12,8.3,8.3325,8.26,8.3275,154.0
2018-07-13,8.14,8.315,8.14,8.315,23846.0
2018-07-16,8.295,8.38,8.105,8.185,28635.0
2018-07-17,8.395,8.435,8.3,8.3325,37736.0
2018-07-18,8.4225,8.475,8.3475,8.39,18546.0
2018-07-19,8.46,8.4675,8.3675,8.42,26561.0
2018-07-20,8.4975,8.5325,8.4125,8.46,26319.0
2018-07-23,8.4775,8.5475,8.4725,8.5325,31905.0
2018-07-24,8.58,8.6275,8.425,8.44,39163.0
2018-07-25,8.6075,8.63,8.52,8.6,33013.0
2018-07-26,8.6125,8.81,8.5825,8.7,49688.0
2018-07-27,8.705,8.74,8.5825,8.5825,47143.0
2018-07-30,8.75,8.8125,8.7125,8.785,59118.0
2018-07-31,9.0375,9.06,8.7325,8.755,15115.0
2018-08-01,8.8675,8.98,8.8475,8.98,11347.0
2018-08-02,8.825,8.8675,8.75,8.8675,4368.0
2018-08-03,8.8625,8.865,8.705,8.785,2608.0
2018-08-06,8.7725,8.81,8.725,8.805,1754.0
2018-08-07,8.8925,8.9125,8.8325,8.8775,2138.0
2018-08-08,8.9375,8.9575,8.8975,8.92,1415.0
2018-08-09,8.8775,8.905,8.875,8.905,635.0
2018-08-10,8.46,8.8625,8.4525,8.8625,304.0
2018-08-13,8.535,8.535,8.38,8.38,139.0
2018-08-14,8.645,8.645,8.565,8.585,16365.0
2018-08-15,8.575,8.725,8.565,8.6775,10749.0
2018-08-16,8.855,8.8825,8.545,8.5975,19406.0
2018-08-17,8.815,8.875,8.71,8.8475,19408.0
2018-08-20,8.8175,8.96,8.805,8.8975,10658.0
2018-08-21,8.745,8.8325,8.735,8.74,18546.0
2018-08-22,8.5825,8.7375,8.5725,8.735,21139.0
2018-08-23,8.42,8.6175,8.42,8.575,19488.0
2018-08-24,8.42,8.485,8.4075,8.415,29279.0
2018-08-27,8.3475,8.4,8.2475,8.3825,29914.0
2018-08-28,8.205,8.365,8.2025,8.3325,26658.0
2018-08-29,8.2325,8.3075,8.2,8.2075,24291.0
2018-08-30,8.195,8.315,8.17,8.23,16391.0
2018-08-31,8.33,8.3325,8.16,8.16,0.0
2018-09-04,8.32,8.3875,8.265,8.32,1583.0
2018-09-05,8.255,8.3525,8.255,8.3525,822.0
2018-09-06,8.2675,8.2975,8.2425,8.2825,571.0
2018-09-07,8.32,8.3325,8.265,8.265,402.0
2018-09-10,8.335,8.3825,8.3225,8.3225,173.0
2018-09-11,8.2025,8.3675,8.2025,8.3675,351.0
2018-09-12,8.29,8.29,8.115,8.205,644.0
2018-09-13,8.2275,8.3175,8.2275,8.2825,64.0
2018-09-14,8.215,8.215,8.215,8.215,70421.0
2018-09-17,8.235,8.2975,8.215,8.275,72673.0
2018-09-18,8.14,8.2525,8.1225,8.21,94047.0
2018-09-19,8.3,8.3175,8.1325,8.1375,80961.0
2018-09-20,8.5025,8.55,8.2525,8.3,163230.0
2018-09-21,8.4725,8.4975,8.4125,8.4625,88697.0
2018-09-24,8.41,8.4525,8.3825,8.44,74829.0
2018-09-25,8.4575,8.58,8.3725,8.4125,160953.0
2018-09-26,8.5,8.54,8.4575,8.4625,89464.0
2018-09-27,8.55,8.59,8.465,8.4825,76059.0
2018-09-28,8.455,8.5925,8.42,8.5425,143042.0
2018-10-01,8.5775,8.64,8.43,8.455,152163.0
2018-10-02,8.66,8.6725,8.53,8.5675,117212.0
2018-10-03,8.615,8.7025,8.605,8.66,98123.0
2018-10-04,8.5925,8.685,8.585,8.6,102929.0
2018-10-05,8.69,8.7025,8.515,8.6,167588.0
2018-10-08,8.6975,8.7475,8.625,8.7,123432.0
2018-10-09,8.63,8.725,8.5925,8.6975,141122.0
2018-10-10,8.5225,8.6475,8.4725,8.63,135163.0
2018-10-11,8.5825,8.64,8.47,8.52,161159.0
2018-10-12,8.675,8.68,8.585,8.595,85795.0
2018-10-15,8.915,8.92,8.635,8.67,150598.0
2018-10-16,8.8475,8.9125,8.7925,8.9125,106588.0
2018-10-17,8.8575,8.8975,8.82,8.835,101638.0
2018-10-18,8.635,8.8375,8.6275,8.8225,125411.0
2018-10-19,8.5675,8.6625,8.5625,8.6525,120379.0
2018-10-22,8.585,8.63,8.555,8.5575,124570.0
2018-10-23,8.575,8.6275,8.51,8.575,107486.0
2018-10-24,8.5025,8.5675,8.5,8.5575,187127.0
2018-10-25,8.4175,8.51,8.4,8.5,130130.0
2018-10-26,8.45,8.4925,8.41,8.42,120782.0
2018-10-29,8.39,8.525,8.3725,8.45,114907.0
2018-10-30,8.335,8.42,8.3225,8.39,107969.0
2018-10-31,8.39,8.4225,8.3175,8.3275,18050.0
2018-11-01,8.69,8.75,8.3275,8.37,17055.0
2018-11-02,8.7525,8.885,8.665,8.68,11996.0
2018-11-05,8.73,8.8,8.705,8.77,7226.0
2018-11-06,8.72,8.745,8.6675,8.7225,4267.0
2018-11-07,8.6775,8.7375,8.65,8.72,4552.0
2018-11-08,8.675,8.7125,8.53,8.67,3663.0
2018-11-09,8.7525,8.7575,8.6325,8.67,3311.0
2018-11-12,8.7175,8.74,8.6825,8.74,3178.0
2018-11-13,8.6725,8.7625,8.6725,8.7175,2529.0
2018-11-14,8.705,8.7525,8.6925,8.6925,71293.0
2018-11-15,8.8875,8.975,8.8375,8.8425,87077.0
2018-11-16,8.9225,8.9475,8.8175,8.8975,76599.0
2018-11-19,8.7375,8.9225,8.7125,8.92,95488.0
2018-11-20,8.81,8.8575,8.705,8.7425,68069.0
2018-11-21,8.83,8.89,8.76,8.82,68295.0
2018-11-23,8.81,8.845,8.8,8.8125,35988.0
2018-11-26,8.6225,8.83,8.57,8.81,123317.0
2018-11-27,8.755,8.8,8.5825,8.625,98671.0
2018-11-28,8.905,8.95,8.74,8.7625,118516.0
2018-11-29,8.8725,8.945,8.825,8.9,91228.0
2018-11-30,8.9475,8.965,8.86,8.8725,97858.0
2018-12-03,9.0575,9.2375,9.045,9.1975,178080.0
2018-12-04,9.1175,9.13,8.995,9.0325,107528.0
2018-12-06,9.095,9.1225,8.97,9.115,127436.0
2018-12-07,9.1675,9.18,9.075,9.1,112608.0
2018-12-10,9.0975,9.165,9.085,9.12,109608.0
2018-12-11,9.15,9.1725,9.06,9.0775,114414.0
2018-12-12,9.2,9.28,9.1525,9.16,121344.0
2018-12-13,9.07,9.2,9.0525,9.1875,120802.0
2018-12-14,9.005,9.1,9.0,9.0725,93463.0
2018-12-17,9.0475,9.0925,9.0025,9.0075,76021.0
2018-12-18,9.0775,9.1225,9.0275,9.0275,91101.0
2018-12-19,9.0,9.0975,8.9925,9.07,115946.0
2018-12-20,8.935,9.055,8.9275,9.0,95834.0
2018-12-21,8.8475,8.9475,8.8325,8.915,93658.0
2018-12-24,8.84,8.865,8.795,8.8325,30790.0
2018-12-26,8.7,8.8875,8.695,8.85,56380.0
2018-12-27,8.69,8.76,8.67,8.7075,66899.0
2018-12-28,8.8275,8.8625,8.7,8.705,46910.0
2018-12-31,8.825,8.89,8.7925,8.855,13220.0
2019-01-02,8.9475,8.9775,8.8075,8.815,8393.0
2019-01-03,9.0025,9.0075,8.9225,8.935,5149.0
2019-01-04,9.095,9.1,8.9825,8.9825,6571.0
2019-01-07,9.1225,9.1575,9.095,9.095,4350.0
2019-01-08,9.0625,9.125,9.03,9.1175,3286.0
2019-01-09,9.115,9.1375,9.0525,9.055,2759.0
2019-01-10,8.955,9.1125,8.95,9.08,1094.0
2019-01-11,8.9925,9.0125,8.9725,8.9725,287.0
2019-01-14,8.9075,8.9525,8.9075,8.9525,75988.0
2019-01-15,8.9325,9.08,8.925,9.0425,107769.0
2019-01-16,8.945,9.0,8.9125,8.955,87043.0
2019-01-17,9.0775,9.12,8.9425,8.955,103132.0
2019-01-18,9.1675,9.2025,9.0575,9.0825,112894.0
2019-01-22,9.0925,9.195,8.995,9.165,126766.0
2019-01-23,9.15,9.1825,9.105,9.11,72124.0
2019-01-24,9.16,9.195,9.0925,9.15,85832.0
2019-01-25,9.2525,9.2625,9.13,9.1575,103755.0
2019-01-28,9.2325,9.25,9.1575,9.235,69622.0
2019-01-29,9.19,9.2225,9.1675,9.2175,86953.0
2019-01-30,9.21,9.24,9.1725,9.19,68239.0
2019-01-31,9.1525,9.2675,9.1325,9.195,98081.0
2019-02-01,9.1775,9.3125,9.17,9.21,168136.0
2019-02-04,9.185,9.2375,9.155,9.17,76590.0
2019-02-05,9.2025,9.21,9.135,9.1775,83109.0
2019-02-06,9.2175,9.225,9.175,9.2,98810.0
2019-02-07,9.1325,9.215,9.105,9.195,120903.0
2019-02-08,9.145,9.18,9.08,9.13,134648.0
2019-02-11,9.05,9.1875,9.035,9.1475,124095.0
2019-02-12,9.175,9.1975,9.055,9.055,126536.0
2019-02-13,9.165,9.2,9.1375,9.1675,87709.0
2019-02-14,9.035,9.1825,9.03,9.1575,111538.0
2019-02-15,9.075,9.0975,9.0125,9.0525,113607.0
2019-02-19,9.0075,9.1125,8.9475,9.0725,119260.0
2019-02-20,9.025,9.05,8.9325,9.02,132174.0
2019-02-21,9.11,9.1675,9.0,9.0275,169207.0
2019-02-22,9.1025,9.1475,9.075,9.1025,127436.0
2019-02-25,9.1175,9.21,9.1025,9.18,108509.0
2019-02-26,9.0375,9.1075,8.99,9.1,88696.0
2019-02-27,9.035,9.1,9.0075,9.03,69356.0
2019-02-28,8.975,9.0525,8.97,9.03,13006.0
2019-03-01,8.9925,9.05,8.8825,8.9725,8373.0
2019-03-04,9.0325,9.1225,9.0125,9.0125,4165.0
2019-03-05,9.0125,9.0475,8.9675,9.0475,3339.0
2019-03-06,8.8975,9.035,8.895,9.005,2100.0
2019-03-07,8.9075,8.9375,8.87,8.92,2606.0
2019-03-08,8.8375,8.915,8.8,8.91,1275.0
2019-03-11,8.7775,8.845,8.7775,8.845,436.0
2019-03-12,8.8475,8.85,8.8025,8.805,237.0
2019-03-13,8.89,8.8925,8.825,8.8275,215.0
2019-03-14,8.895,8.895,8.895,8.895,87983.0
2019-03-15,9.0925,9.11,8.9825,8.9925,97847.0
2019-03-18,9.0575,9.115,9.0175,9.1,68441.0
2019-03-19,9.04,9.095,9.0025,9.055,78731.0
2019-03-20,9.06,9.065,8.9925,9.0275,73221.0
2019-03-21,9.105,9.12,9.035,9.06,79287.0
2019-03-22,9.0375,9.12,9.03,9.0975,91931.0
2019-03-25,9.065,9.0825,9.015,9.045,62221.0
2019-03-26,9.0075,9.075,8.995,9.055,64159.0
2019-03-27,8.875,9.0075,8.86,9.0025,108413.0
2019-03-28,8.895,8.9175,8.865,8.88,71399.0
2019-03-29,8.8425,8.9275,8.83,8.8875,96062.0
2019-04-01,8.955,8.99,8.8375,8.84,116288.0
2019-04-02,9.0,9.0125,8.925,8.9575,78593.0
2019-04-03,8.9875,9.03,8.9475,8.9925,63617.0
2019-04-04,9.065,9.0725,8.97,8.9825,112219.0
2019-04-05,8.99,9.0475,8.9625,9.045,102769.0
2019-04-08,8.9875,9.035,8.98,8.99,113476.0
2019-04-09,8.9875,9.0225,8.9475,8.9825,95488.0
2019-04-10,9.02,9.0375,8.9725,8.9875,110699.0
2019-04-11,8.9525,9.04,8.935,9.0125,98642.0
2019-04-12,8.9525,8.985,8.9375,8.95,82118.0
2019-04-15,8.9875,9.02,8.9475,8.95,105410.0
2019-04-16,8.88,8.99,8.8625,8.9825,115185.0
2019-04-17,8.79,8.905,8.785,8.8775,105530.0
2019-04-18,8.805,8.82,8.765,8.7875,77262.0
2019-04-22,8.77,8.8325,8.7625,8.815,80529.0
2019-04-23,8.62,8.7875,8.6075,8.77,168391.0
2019-04-24,8.5525,8.6525,8.545,8.62,87642.0
2019-04-25,8.5925,8.6275,8.535,8.5475,124152.0
2019-04-26,8.5375,8.5975,8.525,8.585,142904.0
2019-04-29,8.475,8.595,8.4725,8.5475,81581.0
2019-04-30,8.4125,8.51,8.385,8.48,11508.0
2019-05-01,8.395,8.43,8.3175,8.41,9763.0
2019-05-02,8.305,8.405,8.2975,8.4,5556.0
2019-05-03,8.295,8.3275,8.2875,8.305,3485.0
2019-05-06,8.175,8.1975,8.045,8.165,2686.0
2019-05-07,8.1775,8.2175,8.15,8.15,2555.0
2019-05-08,8.1425,8.2025,8.1275,8.1925,1990.0
2019-05-09,8.0025,8.105,7.9525,8.1,680.0
2019-05-10,7.97,8.04,7.9525,8.0025,712.0
2019-05-13,7.91,7.91,7.805,7.9025,369.0
2019-05-14,8.1775,8.1775,8.1,8.1,167862.0
2019-05-15,8.355,8.4825,8.27,8.32,182209.0
2019-05-16,8.3975,8.45,8.34,8.34,106299.0
2019-05-17,8.2175,8.4175,8.205,8.4075,119427.0
2019-05-20,8.3175,8.3875,8.2475,8.2825,113522.0
2019-05-21,8.22,8.465,8.19,8.4275,188028.0
2019-05-22,8.285,8.35,8.19,8.195,124467.0
2019-05-23,8.215,8.34,8.17,8.285,125848.0
2019-05-24,8.2975,8.315,8.2,8.215,94258.0
2019-05-28,8.56,8.5825,8.375,8.4,148619.0
2019-05-29,8.72,8.9275,8.635,8.66,216536.0
2019-05-30,8.89,8.895,8.635,8.715,138936.0
2019-05-31,8.7775,8.9075,8.765,8.89,120397.0
2019-06-03,8.79,8.865,8.735,8.7575,127513.0
2019-06-04,8.8175,8.945,8.785,8.9125,146836.0
2019-06-05,8.6975,8.8275,8.6825,8.82,133437.0
2019-06-06,8.6875,8.7225,8.5775,8.6975,115535.0
2019-06-07,8.5625,8.715,8.55,8.6875,126250.0
2019-06-10,8.585,8.66,8.4825,8.5375,109009.0
2019-06-11,8.5925,8.635,8.5025,8.555,138285.0
2019-06-12,8.78,8.8325,8.5325,8.5725,168960.0
2019-06-13,8.88,8.8875,8.7775,8.78,122373.0
2019-06-14,8.9675,8.9825,8.8525,8.875,131228.0
2019-06-17,9.1275,9.14,9.0075,9.01,164353.0
2019-06-18,9.135,9.215,9.0275,9.1825,154004.0
2019-06-19,9.0325,9.135,9.015,9.125,149148.0
2019-06-20,9.155,9.175,8.965,9.0125,147071.0
2019-06-21,9.0275,9.1725,9.025,9.15,139463.0
2019-06-24,9.09,9.1125,8.995,9.02,110371.0
2019-06-25,9.035,9.1775,9.005,9.15,141144.0
2019-06-26,8.9425,9.02,8.9325,9.02,108709.0
2019-06-27,8.8775,8.9825,8.835,8.9325,74477.0
2019-06-28,8.9975,9.06,8.8725,8.8925,16083.0
2019-07-01,8.855,9.1075,8.84,9.1075,4732.0
2019-07-02,8.7625,8.8825,8.7625,8.8625,2636.0
2019-07-03,8.8525,8.8575,8.735,8.755,3531.0
2019-07-05,8.7225,8.8475,8.7175,8.84,1991.0
2019-07-08,8.7525,8.785,8.7,8.78,1340.0
2019-07-09,8.8275,8.8275,8.7075,8.7225,936.0
2019-07-10,8.93,8.93,8.8075,8.845,651.0
2019-07-11,8.9625,8.9625,8.9075,8.94,208.0
2019-07-12,9.0675,9.0675,9.0225,9.0225,29186.0
2019-07-15,9.0175,9.18,9.005,9.1525,26785.0
2019-07-16,8.8775,9.0,8.85,8.9975,64645.0
2019-07-17,8.825,8.9425,8.815,8.875,32882.0
2019-07-18,8.8125,8.8575,8.755,8.8,34663.0
2019-07-19,9.015,9.0575,8.795,8.8175,53086.0
2019-07-22,8.8825,9.0425,8.875,9.015,35788.0
2019-07-23,8.8575,8.925,8.81,8.885,25780.0
2019-07-24,8.91,8.95,8.8375,8.86,47514.0
2019-07-25,8.825,8.96,8.81,8.91,42118.0
2019-07-26,8.8325,8.9,8.815,8.835,62234.0
2019-07-29,8.8575,8.9075,8.8175,8.825,74809.0
2019-07-30,8.7875,8.87,8.715,8.8475,52783.0
2019-07-31,8.64,8.82,8.6275,8.765,10230.0
2019-08-01,8.47,8.6375,8.4275,8.6275,6821.0
2019-08-02,8.5025,8.535,8.4525,8.49,4626.0
2019-08-05,8.5025,8.54,8.3725,8.5225,3186.0
2019-08-06,8.4775,8.5325,8.47,8.485,2306.0
2019-08-07,8.4875,8.4875,8.4425,8.4825,2532.0
2019-08-08,8.65,8.65,8.5175,8.5175,2028.0
2019-08-09,8.7375,8.7525,8.66,8.7175,1592.0
2019-08-12,8.615,8.71,8.6,8.71,324.0
2019-08-13,8.72,8.72,8.7125,8.72,145.0
2019-08-14,8.61,8.695,8.61,8.695,21321.0
2019-08-15,8.58,8.72,8.5775,8.6675,13755.0
2019-08-16,8.6725,8.68,8.5825,8.5825,14071.0
2019-08-19,8.54,8.65,8.52,8.6225,14187.0
2019-08-20,8.5575,8.62,8.53,8.5625,14785.0
2019-08-21,8.605,8.64,8.5425,8.5575,10768.0
2019-08-22,8.56,8.695,8.5525,8.605,18766.0
2019-08-23,8.4325,8.5925,8.42,8.555,35504.0
2019-08-26,8.5375,8.5725,8.42,8.42,39661.0
2019-08-27,8.4625,8.52,8.43,8.515,51663.0
2019-08-28,8.5275,8.5475,8.395,8.4625,41347.0
2019-08-29,8.5625,8.605,8.525,8.5275,42036.0
2019-08-30,8.57,8.6475,8.55,8.5625,6659.0
2019-09-03,8.565,8.565,8.4875,8.555,2239.0
2019-09-04,8.625,8.6375,8.525,8.565,2164.0
2019-09-05,8.4975,8.63,8.4675,8.63,1293.0
2019-09-06,8.45,8.535,8.4475,8.535,657.0
2019-09-09,8.45,8.4775,8.3975,8.43,617.0
2019-09-10,8.5925,8.5925,8.455,8.4725,465.0
2019-09-11,8.54,8.54,8.515,8.5375,648.0
2019-09-12,8.83,8.83,8.6275,8.6275,198.0
2019-09-13,8.8475,8.9025,8.8475,8.9,103085.0
2019-09-16,9.0,9.0475,8.9425,9.0325,90735.0
2019-09-17,8.9375,9.0,8.8825,9.0,91238.0
2019-09-18,8.8875,8.97,8.8675,8.9525,61671.0
2019-09-19,8.93,8.95,8.8625,8.8925,88652.0
2019-09-20,8.8275,8.935,8.8075,8.93,96181.0
2019-09-23,8.925,8.9925,8.8275,8.8275,121013.0
2019-09-24,8.9425,8.99,8.905,8.925,96225.0
2019-09-25,8.8925,8.9775,8.8525,8.94,99066.0
2019-09-26,8.885,8.955,8.8675,8.88,83062.0
2019-09-27,8.83,8.8925,8.815,8.8775,67140.0
2019-09-30,9.06,9.0675,8.8375,8.8475,163353.0
2019-10-01,9.195,9.2,9.0325,9.04,182135.0
2019-10-02,9.1375,9.1875,9.1175,9.1725,114727.0
2019-10-03,9.1175,9.185,9.08,9.13,109300.0
2019-10-04,9.1625,9.2125,9.095,9.11,88001.0
2019-10-07,9.1525,9.195,9.115,9.165,131284.0
2019-10-08,9.205,9.2375,9.105,9.15,149426.0
2019-10-09,9.2375,9.315,9.1825,9.185,165142.0
2019-10-10,9.235,9.34,9.1875,9.195,170687.0
2019-10-11,9.36,9.3925,9.235,9.2375,131889.0
2019-10-14,9.405,9.45,9.305,9.405,131889.0
2019-10-15,9.34,9.4425,9.3325,9.3875,129605.0
2019-10-16,9.28,9.3875,9.275,9.33,102683.0
2019-10-17,9.315,9.4075,9.2725,9.28,119451.0
2019-10-18,9.34,9.385,9.305,9.31,120202.0
